検索ＮＯ,相手ＮＯ,伝票ＮＯ,証憑ＮＯ,伝票日付,借方,借方製造区分,借方科目名,借方科目別補助コード,借方科目別補助名称,,,,,金額,借方外税区分,借方外税額,貸方,貸方製造区分,貸方科目名,貸方科目別補助コード,貸方科目別補助名称,,,,,金額,貸方外税区分,貸方外税額,消費税,消費税額,業種,売上仕入,税率,期日,資金繰コード,資金繰名,摘要,税率区分
34,,,,2022/3/25,1122, ,売掛金,16,㈱アウトワード,,,,,21973,,,4111, ,売上高,,,,,,,21973,,,10,1998,１種,売上,10.00%,,,,コンテンツ制作,
35,,,,2022/3/25,2117, ,預り金,2,住民税,,,,,6600,,,1111, ,現金,,,,,,,6600,,,,,,,,,21,その他支出,住民税　岡崎洋子　広信青葉台で納付,
36,,,,2022/3/25,1113, ,普通預金,1,広島信用金庫売,,,,,4400,,,1122, ,売掛金,0,諸口,,,,,4400,,,,,,,,,3,売掛金入金,掛代金振込　ワタナベ,
37,,,,2022/3/25,1111, ,現金,,,,,,,225000,,,1113, ,普通預金,1,広島信用金庫売,,,,,225000,,,,,,,,,,,引出し,
38,,,,2022/3/25,1113, ,普通預金,1,広島信用金庫売,,,,,139095,,,1122, ,売掛金,0,諸口,,,,,139095,,,,,,,,,3,売掛金入金,掛代金振込,
39,,,,2022/3/25,6218, ,通信交通費,,,,,,,14414,,,2113, ,短期借入金,0,諸口,,,,,14414,,,10,1310,,仕入,10.00%,,,,NTT 2月分　 中国しんきんカード　岡崎成司,
40,,,,2022/3/25,6218, ,通信交通費,,,,,,,34127,,,2113, ,短期借入金,2,岡崎成司SB携帯,,,,,34127,,,10,3102,,仕入,10.00%,,,,ソフトバンク　岡崎洋子　岡崎成司　2月分,
41,,,,2022/3/25,2113, ,短期借入金,3,車両費,,,,,4963,,,1111, ,現金,,,,,,,4963,,,,,,,,,40,短期借入金返済,ガソリン代　エネオスカード　岡崎洋子,
42,,,,2022/3/25,2113, ,短期借入金,6,消耗品費,,,,,206,,,1111, ,現金,,,,,,,206,,,,,,,,,40,短期借入金返済,写真AC　エネオスカード　岡崎洋子,
43,,,,2022/3/25,2113, ,短期借入金,10,水道光熱費,,,,,9990,,,1111, ,現金,,,,,,,9990,,,,,,,,,40,短期借入金返済,灯油　短期借入金返済　エネオスカード岡崎洋子,
44,,,,2022/3/25,1113, ,普通預金,0,諸口,,,,,22000,,,1122, ,売掛金,0,諸口,,,,,22000,,,,,,,,,3,売掛金入金,掛代金振込,
45,,,,2022/3/28,6224, ,保険料,,,,,,,4290,,,1113, ,普通預金,2,広島信用金庫社,,,,,4290,,,30,,,仕入,,,18,販売管理費,自動車保険　三井住友海上,
46,,,,2022/3/28,6227, ,管理諸費,,,,,,,27500,,,1113, ,普通預金,1,広島信用金庫売,,,,,27500,,,10,2500,,仕入,10.00%,,18,販売管理費,長谷川会計　顧問料,
47,,,,2022/3/28,6218, ,通信交通費,,,,,,,3709,,,1113, ,普通預金,1,広島信用金庫売,,,,,3709,,,10,337,,仕入,10.00%,,18,販売管理費,ソフトバンクモバイル,
48,,,,2022/3/29,1113, ,普通預金,1,広島信用金庫売,,,,,14395,,,1154, ,未収入金,,,,,,,14395,,,,,,,,,8,その他収入,㈱パブリック有本,
49,,,,2022/3/29,6217, ,事務用消耗品費,,,,,,,4378,,,2112, ,買掛金,0,諸口,,,,,4378,,,10,398,,仕入,10.00%,,,,複合機カウンター,
50,,,,2022/3/30,2112, ,買掛金,21,内海産業㈱中国,,,,,19008,,,1113, ,普通預金,1,広島信用金庫売,,,,,19008,,,,,,,,,12,買掛金支払,掛代金支払,
51,,,,2022/3/31,5212, ,外注費,,,,,,,13750,,,1152, ,前払費用,,,,,,,13750,,,10,1250,,仕入,10.00%,,,,アイエス工房　サテライト山陽　看板媒体料　R4.3月分,
52,,,,2022/3/31,2114, ,未払金,1,給与,,,,,159560,,,1111, ,現金,,,,,,,159560,,,,,,,,,21,その他支出,従業員給与　岡崎洋子,
53,,,,2022/3/31,1122, ,売掛金,0,諸口,,,,,143055,,,4111, ,売上高,,,,,,,143055,,,10,13005,１種,売上,10.00%,,,,コンテンツ制作,
54,,,,2022/3/31,5212, ,外注費,,,,,,,616000,,,2112, ,買掛金,27,㈱テレビ新広島,,,,,616000,,,10,56000,,仕入,10.00%,,,,住研社　提供電波料,
55,,,,2022/3/31,9992, ,資金外諸口,,,,,,,,,,1113, ,普通預金,2,広島信用金庫社,,,,,61000,,,,,,,,,9,,社会保険料　　3月末,
56,,,,2022/3/31,6227, ,管理諸費,,,,,,,4500,,,1111, ,現金,,,,,,,4500,,,10,409,,仕入,10.00%,,18,販売管理費,賃貸保証料　全保連　2021年10月8日　セブンイレブンで支払い,
57,,,,2022/3/31,6219, ,水道光熱費,,,,,,,11243,,,1111, ,現金,,,,,,,11243,,,10,1022,,仕入,10.00%,,18,販売管理費,電気料金　中国電力　3月分　セブンイレブン,
58,,,,2022/3/31,6215, ,地代家賃,,,,,,,47143,,,1152, ,前払費用,,,,,,,47143,,,10,4286,,仕入,10.00%,,,,家賃　日経不動産　3月分,
59,,,,2022/3/31,6215, ,地代家賃,,,,,,,10000,,,1152, ,前払費用,,,,,,,10000,,,10,909,,仕入,10.00%,,,,駐車場代　セキダヨウコ　3月分,
60,,,,2022/3/31,1152, ,前払費用,,,,,,,47143,,,1113, ,普通預金,1,広島信用金庫売,,,,,47143,,,,,,,,,21,その他支出,家賃　日経不動産　4月分,
61,,,,2022/3/31,1152, ,前払費用,,,,,,,10000,,,1113, ,普通預金,1,広島信用金庫売,,,,,10000,,,,,,,,,21,その他支出,駐車場代　セキダヨウコ　4月分,
62,,,,2022/3/31,2112, ,買掛金,14,甲三堂造花(有),,,,,1650,,,1113, ,普通預金,1,広島信用金庫売,,,,,1650,,,,,,,,,12,買掛金支払,掛代金支払,
63,,,,2022/3/31,2112, ,買掛金,5,㈲ニーズ,,,,,43670,,,1113, ,普通預金,1,広島信用金庫売,,,,,43670,,,,,,,,,12,買掛金支払,掛代金支払,
64,,,,2022/3/31,2112, ,買掛金,12,合同印刷株式会,,,,,93610,,,1113, ,普通預金,1,広島信用金庫売,,,,,93610,,,,,,,,,12,買掛金支払,掛代金支払,
65,,,,2022/3/31,2112, ,買掛金,11,木梨デザインス,,,,,189750,,,1113, ,普通預金,1,広島信用金庫売,,,,,189750,,,,,,,,,12,買掛金支払,掛代金支払,
66,,,,2022/3/31,1113, ,普通預金,1,広島信用金庫売,,,,,793650,,,1122, ,売掛金,15,㈱住研社,,,,,793650,,,,,,,,,3,売掛金入金,掛代金振込,
67,,,,2022/3/31,1113, ,普通預金,1,広島信用金庫売,,,,,21973,,,1122, ,売掛金,16,㈱アウトワード,,,,,21973,,,,,,,,,3,売掛金入金,掛代金振込,
