[2022/10/06 12:48:02][DEBUG](ViewGUI.py:45) Network: ws247 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:46) Machine: AMD64 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:47) Processor: Intel64 Family 6 Model 165 Stepping 5, GenuineIntel __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:48) Platform: Windows-10-10.0.19041-SP0 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:49) System: Windows __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:50) Release: 10 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:51) Version: 10.0.19041 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:52) MAC Address: 80E8_2CFB_55FD __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:53) Host name: ws247 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:54) IP Address: 192.168.56.1 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:55) ViewGUI起動 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:02][DEBUG](ViewGUI.py:101) ViewGUI起動完了 __init__ d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:963) 画像処理Save起動 event_clip_start d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:57][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:58][DEBUG](ViewGUI.py:973) 画像処理Undo起動 event_clip_keep d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:58][DEBUG](ViewGUI.py:986) 画像範囲選択イベント完了 event_clip_end d:\PythonScript\RPAScript\OCRView\ViewGUI.py
[2022/10/06 12:48:58][DEBUG](ViewGUI.py:1025) OverSaveボタン起動 event_Searchsave d:\PythonScript\RPAScript\OCRView\ViewGUI.py
