,検索ＮＯ,伝票ＮＯ,伝票日付,相手科目コード,相手科目名称,摘要,消費税コード,消費税率,借方金額,貸方金額,差引金額,税率区分
,46,,R04/08/22,1113,普通預金,8/19　売上,,,,57970,,
,47,,R04/08/22,1113,普通預金,引出し,,,20000,,,
,151,,R04/08/22,4111,売上高,現金売上,,,80820,,,
,152,,R04/08/22,5211,商品仕入高,豊島水産　仕入,,,,8195,,
,153,,R04/08/22,5211,商品仕入高,フジグラン　仕入,,,,931,,
,154,,R04/08/22,5211,商品仕入高,八百心　仕入,,,,4754,,
,155,,R04/08/22,5211,商品仕入高,角戸鮮魚店　仕入,,,,2500,154440,
,49,,R04/08/23,1113,普通預金,8/22　売上,,,,83440,,
,50,,R04/08/23,1113,普通預金,8/22　売上,,,,1000,,
,156,,R04/08/23,4111,売上高,現金売上,,,20010,,90010,
,52,,R04/08/24,1113,普通預金,8/23　売上,,,,20010,,
,157,,R04/08/24,4111,売上高,現金売上,,,45240,,,
,158,,R04/08/24,5211,商品仕入高,フジグラン　仕入,,,,599,,
,159,,R04/08/24,5211,商品仕入高,フジグラン　仕入,,,,2146,112495,
,55,,R04/08/25,1113,普通預金,8/24　売上,,,,42495,,
,160,,R04/08/25,4111,売上高,現金売上,,,63970,,,
,161,,R04/08/25,6225,消耗品費,東急ハンズ　消耗品,,,,1958,,
,162,,R04/08/25,6225,消耗品費,ダイソー　消耗品,,,,330,,
,163,,R04/08/25,5211,商品仕入高,西原商会　仕入,,,,7575,,
,164,,R04/08/25,6218,通信費,日本郵便　郵送代,,,,380,123727,
,60,,R04/08/26,1113,普通預金,8/25　売上,,,,53727,,
,165,,R04/08/26,4111,売上高,現金売上,,,49580,,,
,166,,R04/08/26,5211,商品仕入高,プロマート　仕入,,,,1399,,
,167,,R04/08/26,6223,接待交際費,GAIA　接待費,,,,5000,113181,
,168,,R04/08/27,4111,売上高,現金売上,,,34620,,,
,169,,R04/08/27,5211,商品仕入高,フジグラン　仕入,,,,2251,145550,
,71,,R04/08/29,1113,普通預金,8/26　売上,,,,43181,,
,72,,R04/08/29,1113,普通預金,8/27　売上,,,,32369,,
,73,,R04/08/29,1113,普通預金,引出し,,,140000,,,
,170,,R04/08/29,4111,売上高,現金売上,,,28080,,,
,171,,R04/08/29,5211,商品仕入高,プロマート　仕入,,,,2506,,
,172,,R04/08/29,5211,商品仕入高,三越　仕入,,,,324,,
,173,,R04/08/29,6221,租税公課,事業税　第一期,,,,131400,,
,174,,R04/08/29,5211,商品仕入高,豊島水産　仕入,,,,4147,99703,
,74,,R04/08/30,1113,普通預金,8/29　売上,,,,29703,,
,75,,R04/08/30,1113,普通預金,引出し,,,10000,,,
,175,,R04/08/30,4111,売上高,現金売上,,,58190,,,
,176,,R04/08/30,5211,商品仕入高,豊島水産　仕入,,,,2441,,
,177,,R04/08/30,5211,商品仕入高,フジグラン　仕入,,,,351,135398,
,80,,R04/08/31,1113,普通預金,8/30　売上,,,,65398,,
,81,,R04/08/31,1113,普通預金,引出し,,,70000,,,
,178,,R04/08/31,4111,売上高,現金売上,,,57580,,,
,179,,R04/08/31,5211,商品仕入高,フジグラン　仕入,,,,647,,
,180,,R04/08/31,6113,広告宣伝費,リクルート　広告掲載料,,,,47700,,
,181,,R04/08/31,5211,商品仕入高,楽天市場　仕入,,,,9310,139923,
,,,,,,※※月計※※,,,2309460,2313671,,
"1113 普通預金",,,,,,前月より繰越,,,,,3348584,
,1,,R04/08/01,2212,長期借入金,日本政策金融公庫　借入金返済,,,,26000,,
,2,,R04/08/01,7511,支払利息,日本政策金融公庫　支払利息,,,,680,,
,3,,R04/08/01,2212,長期借入金,日本政策金融公庫　借入金返済,,,,36000,,
,4,,R04/08/01,7511,支払利息,日本政策金融公庫　支払利息,,,,942,,
,5,,R04/08/01,9411,事業主貸,所得税　中間納付,,,,171400,,
,6,,R04/08/01,1111,現金,7/29　売上,,,50534,,,
,7,,R04/08/01,1111,現金,7/30　売上,,,23600,,,
,8,,R04/08/01,1111,現金,引出し,,,,20000,3167696,
,9,,R04/08/02,1111,現金,8/1　売上,,,26991,,3194687,
,10,,R04/08/03,6228,リース料,SMTパナ　冷蔵庫リース,,,,8100,,
,11,,R04/08/03,1111,現金,8/2　売上,,,31054,,,
,12,,R04/08/03,1111,現金,引出し,,,,20000,3197641,
,13,,R04/08/04,1111,現金,8/3　売上,,,10023,,3207664,
,14,,R04/08/05,1122,売掛金,リクルートペイメント　入金,,,288455,,,
,15,,R04/08/05,6228,リース料,三菱クレジット　製氷機リース,,,,10450,,
,16,,R04/08/05,1122,売掛金,Go　To　Eat　入金,,,25000,,,
,17,,R04/08/05,1111,現金,8/4　売上,,,15320,,,
,18,,R04/08/05,1111,現金,引出し,,,,380000,,
,19,,R04/08/05,9411,事業主貸,生活費,,,,20000,3125989,
,20,,R04/08/06,9411,事業主貸,生活費,,,,10000,,
,21,,R04/08/06,6231,雑費,引出手数料,,,,220,3115769,
,22,,R04/08/08,1111,現金,8/5　売上,,,65424,,,
,23,,R04/08/08,1111,現金,8/6　売上,,,6000,,,
,24,,R04/08/08,1111,現金,引出し,,,,30000,3157193,
,25,,R04/08/09,1111,現金,8/8　売上,,,12110,,,
,26,,R04/08/09,1113,普通預金,口座振替,,,400000,,,
,26,,R04/08/09,1113,普通預金,口座振替,,,,400000,,
,87,,R04/08/09,1111,現金,引出し,,,,200000,2969303,
,27,,R04/08/10,1111,現金,8/9　売上,,,15781,,,
,28,,R04/08/10,1111,現金,引出し,,,,20000,2965084,
,29,,R04/08/12,4111,売上高,カカクコムTポイント,,,200,,,
,30,,R04/08/12,1111,現金,8/10　売上,,,30085,,,
,31,,R04/08/12,1111,現金,8/11　売上,,,56162,,,
,32,,R04/08/12,1111,現金,引出し,,,,500000,2551531,
,33,,R04/08/15,6219,水道光熱費,"広島ガス　ガス代 4.8",,,,23360,2528171,
,34,,R04/08/16,1122,売掛金,リクルートペイメント　入金,,,202086,,2730257,
,35,,R04/08/18,9411,事業主貸,小規模共済,,,,70000,,
,36,,R04/08/18,1111,現金,8/12　売上,,,80508,,,
,37,,R04/08/18,1111,現金,8/13　売上,,,39359,,,
,38,,R04/08/18,1111,現金,引出し,,,,20000,,
,39,,R04/08/18,9411,事業主貸,生活費,,,,50000,2710124,
,40,,R04/08/19,1111,現金,8/17　売上,,,43252,,2753376,
,88,,R04/08/21,9311,事業主借,決算利息,,,13,,2753389,
,41,,R04/08/22,9311,事業主借,受取利息,,,4,,,
,42,,R04/08/22,6231,雑費,サニクリーン　ユニフォーム代,,,,11262,,
,43,,R04/08/22,6231,雑費,サニクリーン　マット代等,,,,19206,,
,44,,R04/08/22,9411,事業主貸,大同生命　保険料,,,,21941,,
,45,,R04/08/22,1111,現金,8/18　売上,,,24967,,,
,46,,R04/08/22,1111,現金,8/19　売上,,,57970,,,
,47,,R04/08/22,1111,現金,引出し,,,,20000,2763921,
,48,,R04/08/23,1122,売掛金,Go　To　Eat　入金,,,80000,,,
,49,,R04/08/23,1111,現金,8/22　売上,,,83440,,,
,50,,R04/08/23,1111,現金,8/22　売上,,,1000,,,
,51,,R04/08/23,9411,事業主貸,生活費,,,,20000,2908361,
,52,,R04/08/24,1111,現金,8/23　売上,,,20010,,2928371,
,53,,R04/08/25,4111,売上高,リクルートポイントプレゼント,,,5100,,,
,54,,R04/08/25,1122,売掛金,リクルートペイメント　入金,,,361847,,,
,55,,R04/08/25,1111,現金,8/24　売上,,,42495,,,
,56,,R04/08/25,9411,事業主貸,生活費,,,,220000,,
,89,,R04/08/25,2212,長期借入金,広島信用金庫　借入金返済,,,,83500,,
,90,,R04/08/25,7511,支払利息,広島信用金庫　支払利息,,,,8321,3025992,
,57,,R04/08/26,9411,事業主貸,ソフトバンクモバイル（個人分）,,,,525,,
,58,,R04/08/26,6218,通信費,スカパー　視聴料,,,,6510,,
,59,,R04/08/26,9411,事業主貸,ソフトバンクモバイル（個人分）,,,,6896,,
,60,,R04/08/26,1111,現金,8/25　売上,,,53727,,,
,61,,R04/08/26,1113,普通預金,口座振替,,,80000,,,
,61,,R04/08/26,1113,普通預金,口座振替,,,,80000,,
,62,,R04/08/26,9411,事業主貸,生活費,,,,20000,,
,83,,R04/08/26,6224,損害保険料,三井住友海上火災保険　保険料,,,,6890,,
,84,,R04/08/26,9411,事業主貸,NHK（個人使用分）,,,,1225,,
,85,,R04/08/26,9411,事業主貸,三井住友海上火災保険　保険料（車）,,,,21360,3016313,
,63,,R04/08/29,6219,水道光熱費,ハルエネ　電気代,,,,3851,,
,64,,R04/08/29,6218,通信費,ソフトバンク　電話代,,,,5368,,
,65,,R04/08/29,6113,広告宣伝費,タイヘイ　HP（2019.6～）,,,,11500,,
,66,,R04/08/29,6113,広告宣伝費,ジャックス　HP（写真代,,,,16300,,
,67,,R04/08/29,6113,広告宣伝費,APアプラス　HP代,,,,17800,,
,68,,R04/08/29,6228,リース料,NS　三菱HBL　リース料,,,,23976,,
,69,,R04/08/29,6231,雑費,長谷川会計　顧問料・納特・労働保険,,,,36300,,
,70,,R04/08/29,6219,水道光熱費,ハルエネ　電気代,,,,91830,,
,71,,R04/08/29,1111,現金,8/26　売上,,,43181,,,
,72,,R04/08/29,1111,現金,8/27　売上,,,32369,,,
,73,,R04/08/29,1111,現金,引出し,,,,140000,,
,86,,R04/08/29,9411,事業主貸,りそな決済（家賃）,,,,50200,2694738,
,74,,R04/08/30,1111,現金,8/29　売上,,,29703,,,
,75,,R04/08/30,1111,現金,引出し,,,,10000,2714441,
,76,,R04/08/31,2212,長期借入金,日本政策金融公庫　借入金返済,,,,26000,,
,77,,R04/08/31,7511,支払利息,日本政策金融公庫　支払利息,,,,670,,
,78,,R04/08/31,2212,長期借入金,日本政策金融公庫　借入金返済,,,,36000,,
,79,,R04/08/31,7511,支払利息,日本政策金融公庫　支払利息,,,,928,,
,80,,R04/08/31,1111,現金,8/30　売上,,,65398,,,
,81,,R04/08/31,1111,現金,引出し,,,,70000,,
,82,,R04/08/31,9411,事業主貸,生活費,,,,250000,2396241,
,,,,,,※※月計※※,,,2403168,3355511,,
"1122 売掛金",,,,,,前月より繰越,,,,,403520,
,185,,R04/08/01,4111,売上高,カード売上/JCB,,,3000,,406520,
,186,,R04/08/03,4111,売上高,カード売上/VISA,,,15720,,,
,187,,R04/08/03,4111,売上高,カード売上/JCB,,,10740,,,
,188,,R04/08/03,4111,売上高,カード売上/VISA,,,24660,,457640,
,14,,R04/08/05,1113,普通預金,リクルートペイメント　入金,,,,288455,,
,16,,R04/08/05,1113,普通預金,Go　To　Eat　入金,,,,25000,,
,182,,R04/08/05,6231,雑費,リクルートペイメント　保証料,,,,10065,,
,189,,R04/08/05,4111,売上高,カード売上/JCB,,,30640,,,
,190,,R04/08/05,4111,売上高,カード売上/VISA,,,23600,,,
,191,,R04/08/05,4111,売上高,カード売上/Master,,,12140,,200500,
,192,,R04/08/06,4111,売上高,カード売上/JCB,,,20360,,,
,193,,R04/08/06,4111,売上高,"Go To Eat　売上",,,38000,,258860,
,194,,R04/08/08,4111,売上高,カード売上/Master,,,16480,,,
,195,,R04/08/08,4111,売上高,カード売上/VISA,,,24340,,,
,196,,R04/08/08,4111,売上高,カード売上/VISA,,,27400,,327080,
,197,,R04/08/10,4111,売上高,カード売上/VISA,,,30940,,,
,198,,R04/08/10,4111,売上高,カード売上/JCB,,,39980,,,
,199,,R04/08/10,4111,売上高,カード売上/Master,,,22280,,,
,200,,R04/08/10,4111,売上高,カード売上/VISA,,,27860,,448140,
,201,,R04/08/11,4111,売上高,カード売上/JCB,,,60000,,508140,
,202,,R04/08/12,4111,売上高,カード売上/JCB,,,16340,,,
,203,,R04/08/12,4111,売上高,カード売上/VISA,,,22580,,547060,
,204,,R04/08/13,4111,売上高,カード売上/VISA,,,18020,,,
,205,,R04/08/13,4111,売上高,カード売上/VISA,,,39840,,604920,
,34,,R04/08/16,1113,普通預金,リクルートペイメント　入金,,,,202086,,
,183,,R04/08/16,6231,雑費,リクルートペイメント　保証料,,,,6994,395840,
,206,,R04/08/18,4111,売上高,カード売上/Master,,,12270,,408110,
,207,,R04/08/19,4111,売上高,カード売上/Master,,,12800,,,
,208,,R04/08/19,4111,売上高,カード売上/JCB,,,41880,,,
,209,,R04/08/19,4111,売上高,カード売上/Master,,,10000,,,
,210,,R04/08/19,4111,売上高,カード売上/Master,,,19680,,492470,
