"OCRテキスト","元帳テキスト"
"OCRテキスト","元帳テキスト"
"APアプラス","APアプラス　HP代"
"NSミﾂﾋﾞシHBL","NS　三菱HBL　リース料"
"DFコモンリヨウ","長谷川会計　顧問料・納特・労働保険"
"APSBSリョウ","ハルエネ　電気代"
"ヨキンキ","売上"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
